Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salario
Trent Forrest,ES,25,ATL,25,0,250,21,56,0.375,2,7,0.286,19,49,0.388,0.393,9,12,0.75,6,25,31,49,7,1,11,21,53,968162
Evan Fournier,ES,31,TOT,14,0,230,32,89,0.36,17,58,0.293,15,31,0.484,0.455,13,15,0.867,3,25,28,16,13,2,10,21,94,18857143
De'Aaron Fox,BA,26,SAC,54,54,1931,539,1137,0.474,149,410,0.363,390,727,0.536,0.54,242,339,0.714,50,176,226,305,104,21,145,141,1469,32600060
Alex Fudge,AL,20,LAL,4,0,14,1,6,0.167,0,2,0.0,1,4,0.25,0.167,2,2,1.0,2,0,2,0,0,0,1,1,4,241285
Markelle Fultz,BA,25,ORL,27,15,603,103,210,0.49,1,10,0.1,102,200,0.51,0.493,15,25,0.6,36,54,90,84,30,9,32,40,222,17000000
Daniel Gafford,AP,25,TOT,57,49,1410,253,362,0.699,0,0,,253,362,0.699,0.699,103,148,0.696,159,287,446,78,51,116,56,176,609,12402000
Danilo Gallinari,AP,35,TOT,40,0,551,73,170,0.429,27,84,0.321,46,86,0.535,0.509,74,86,0.86,18,80,98,50,10,5,17,43,247,1047112
Darius Garland,BA,24,CLE,39,39,1295,262,579,0.453,85,233,0.365,177,346,0.512,0.526,118,140,0.843,19,74,93,245,51,4,125,64,727,34005250
Usman Garuba,AP,21,GSW,3,0,8,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,1,0,1,1,1,0,0,2,0,2588400
Kaiser Gates,AL,27,NOP,1,0,7,0,4,0.0,0,2,0.0,0,2,0.0,0.0,0,0,,0,1,1,0,0,0,0,0,0,35389
Keyonte George,BA,20,UTA,57,26,1459,228,572,0.399,114,317,0.36,114,255,0.447,0.498,129,157,0.822,14,147,161,252,27,5,121,63,699,3889800
Paul George,AP,33,LAC,57,57,1938,443,968,0.458,186,470,0.396,257,498,0.516,0.554,188,213,0.883,30,275,305,206,89,25,117,161,1260,45640165
Josh Giddey,ES,21,OKC,62,62,1531,286,626,0.457,59,179,0.33,227,447,0.508,0.504,71,86,0.826,82,293,375,274,42,34,125,80,702,6587160
Harry Giles,P,25,TOT,18,0,85,22,45,0.489,3,12,0.25,19,33,0.576,0.522,7,13,0.538,12,15,27,6,1,3,6,15,54,2092354
Anthony Gill,AP,31,WAS,33,0,175,24,51,0.471,3,13,0.231,21,38,0.553,0.5,15,20,0.75,14,25,39,14,7,6,15,12,66,1997238
Jacob Gilyard,BA,25,MEM,37,14,654,60,144,0.417,51,120,0.425,9,24,0.375,0.594,2,2,1.0,8,35,43,131,27,5,29,35,173,398925
Rudy Gobert,P,31,MIN,62,62,2104,325,501,0.649,0,3,0.0,325,498,0.653,0.649,203,313,0.649,227,573,800,75,38,133,96,193,853,41000000
Jordan Goodwin,BA,25,TOT,46,5,730,93,248,0.375,28,98,0.286,65,150,0.433,0.431,29,39,0.744,50,93,143,106,33,16,39,52,243,1927986
Aaron Gordon,AP,28,DEN,58,58,1822,318,575,0.553,31,108,0.287,287,467,0.615,0.58,133,204,0.652,137,238,375,188,50,37,85,111,800,21266182
Eric Gordon,ES,35,PHO,53,24,1564,232,520,0.446,125,329,0.38,107,191,0.56,0.566,46,58,0.793,15,93,108,117,50,25,64,63,635,3196448
Devonte' Graham,BA,28,SAS,13,0,111,14,34,0.412,9,24,0.375,5,10,0.5,0.544,6,8,0.75,2,16,18,19,4,1,3,6,43,12100000
Jerami Grant,AP,29,POR,53,53,1795,378,836,0.452,110,272,0.404,268,564,0.475,0.518,252,309,0.816,37,152,189,150,43,34,114,117,1118,27586207
A.J. Green,ES,24,MIL,42,0,401,61,141,0.433,50,122,0.41,11,19,0.579,0.61,10,11,0.909,6,39,45,26,3,2,7,36,182,1801769
Danny Green,ES,36,PHI,2,0,18,0,2,0.0,0,1,0.0,0,1,0.0,0.0,0,0,,0,2,2,1,1,0,0,1,0,500000
Draymond Green,AP,33,GSW,39,36,1033,135,270,0.5,41,95,0.432,94,175,0.537,0.576,45,59,0.763,50,224,274,232,30,37,95,118,356,22321429
Jalen Green,ES,21,HOU,63,63,1939,404,979,0.413,136,431,0.316,268,548,0.489,0.482,212,262,0.809,27,276,303,211,48,20,139,83,1156,9891600
Jeff Green,AP,37,HOU,59,5,966,113,242,0.467,27,88,0.307,86,154,0.558,0.523,98,121,0.81,34,91,125,51,10,26,40,82,351,9600000
Josh Green,ES,23,DAL,51,32,1385,167,344,0.485,69,172,0.401,98,172,0.57,0.586,37,55,0.673,36,130,166,122,45,9,55,101,440,4765339
Quentin Grimes,ES,23,TOT,49,18,989,120,314,0.382,81,231,0.351,39,83,0.47,0.511,27,37,0.73,14,82,96,60,34,7,26,70,348,2385720
Mouhamadou Gueye,AP,25,TOR,2,0,10,1,4,0.25,0,0,,1,4,0.25,0.25,0,0,,3,2,5,0,0,3,0,2,2,64343
Mouhamed Gueye,AP,21,ATL,2,0,4,0,1,0.0,0,1,0.0,0,0,,0.0,0,0,,0,0,0,0,1,0,0,1,0,1119563
Rui Hachimura,AP,25,LAL,51,22,1302,250,483,0.518,67,165,0.406,183,318,0.575,0.587,70,99,0.707,39,152,191,53,36,16,36,74,637,15740741
Tyrese Haliburton,BA,23,IND,51,50,1635,383,793,0.483,150,398,0.377,233,395,0.59,0.578,145,171,0.848,30,164,194,580,54,33,119,48,1061,5808435
R.J. Hampton,BA,22,MIA,8,2,76,4,14,0.286,1,8,0.125,3,6,0.5,0.321,1,2,0.5,2,4,6,8,0,0,3,8,10,120250
Tim Hardaway Jr.,AL,31,DAL,61,10,1737,338,830,0.407,182,504,0.361,156,326,0.479,0.517,130,152,0.855,19,190,209,101,29,5,57,90,988,17897728
James Harden,BA,34,LAC,57,57,1974,293,657,0.446,160,392,0.408,133,265,0.502,0.568,257,292,0.88,25,270,295,473,62,52,146,109,1003,35640000
Jaden Hardy,ES,21,DAL,56,6,807,159,392,0.406,70,192,0.365,89,200,0.445,0.495,44,59,0.746,15,87,102,87,17,4,41,58,432,1719864
Ron Harper Jr.,AP,23,TOR,1,0,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,0,0,2,0,147988
Gary Harris,ES,29,ORL,40,13,918,101,221,0.457,57,150,0.38,44,71,0.62,0.586,28,37,0.757,18,48,66,69,37,11,21,68,287,13000000
Joe Harris,ES,32,DET,16,0,170,14,39,0.359,10,30,0.333,4,9,0.444,0.487,1,2,0.5,3,10,13,10,3,2,4,19,39,19928571
Tobias Harris,AP,31,PHI,57,57,1937,385,777,0.495,70,203,0.345,315,574,0.549,0.541,160,179,0.894,64,290,354,183,59,32,76,96,1000,39270150
Shaquille Harrison,ES,30,MEM,3,0,6,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,0,2,2,0,0,1,0,0,2,145301
Josh Hart,AL,28,NYK,62,23,1959,212,493,0.43,69,206,0.335,143,287,0.498,0.5,61,80,0.763,88,384,472,221,52,20,84,120,554,12960000
Isaiah Hartenstein,P,25,NYK,57,31,1425,156,258,0.605,1,3,0.333,155,255,0.608,0.607,80,110,0.727,188,288,476,123,62,63,67,159,393,8195121
Sam Hauser,AL,26,BOS,62,6,1286,166,373,0.445,134,322,0.416,32,51,0.627,0.625,15,17,0.882,36,170,206,56,23,18,28,80,481,1927896
Jordan Hawkins,ES,21,NOP,55,10,1075,167,428,0.39,104,281,0.37,63,147,0.429,0.512,64,75,0.853,28,113,141,65,17,6,38,68,502,4310160
Jaxson Hayes,P,23,LAL,54,3,617,85,123,0.691,0,8,0.0,85,115,0.739,0.691,33,55,0.6,46,91,137,24,26,22,26,89,203,2165000
